Frequency (MHz),Port 1 Out (dB),Port 1 In (dB),Port 2 Out (dB),Port 2 In (dB),Port 3 Out (dB),Port 3 In (dB),Port 4 Out (dB),Port 4 In (dB)
1962.6,0,0,0,0,0,0,0,0
1964.6,0,0,0,0,0,0,0,0
1965.3,0,0,0,0,0,0,0,0
1965.6,0,0,0,0,0,0,0,0
1965.7,0,0,0,0,0,0,0,0
1966.2,0,0,0,0,0,0,0,0
1968.9,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,0
1969.2,0,0,0,0,0,0,0,0
1969.4,0,0,0,0,0,0,0,0
1969.6,0,0,0,0,0,0,0,0
1970.2,0,0,0,0,0,0,0,0
1972.6,0,0,0,0,0,0,0,0
1972.7,0,0,0,0,0,0,0,0
1973.2,0,0,0,0,0,0,0,0
1973.3,0,0,0,0,0,0,0,0
1974.2,0,0,0,0,0,0,0,0
1976.2,0,0,0,0,0,0,0,0
1976.4,0,0,0,0,0,0,0,0
1976.6,0,0,0,0,0,0,0,0
1976.9,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0
1977.6,0,0,0,0,0,0,0,0
1978.2,0,0,0,0,0,0,0,0
1979.6,0,0,0,0,0,0,0,0
1980.1,0,0,0,0,0,0,0,0
1980.7,0,0,0,0,0,0,0,0
1981.9,0,0,0,0,0,0,0,0
1982.2,0,0,0,0,0,0,0,0
1983.2,0,0,0,0,0,0,0,0
1983.8,0,0,0,0,0,0,0,0
1984.4,0,0,0,0,0,0,0,0
1986.2,0,0,0,0,0,0,0,0
1986.6,0,0,0,0,0,0,0,0
1987.5,0,0,0,0,0,0,0,0
1988.8,0,0,0,0,0,0,0,0
1989.8,0,0,0,0,0,0,0,0
1990.6,0,0,0,0,0,0,0,0
1994.9,0,0,0,0,0,0,0,0
2110,0,0,0,0,0,0,0,0
2110.1,0,0,0,0,0,0,0,0
2112.4,0,0,0,0,0,0,0,0
2113,0,0,0,0,0,0,0,0
2113.8,0,0,0,0,0,0,0,0
2114.2,0,0,0,0,0,0,0,0
2116,0,0,0,0,0,0,0,0
2116.2,0,0,0,0,0,0,0,0
2117.6,0,0,0,0,0,0,0,0
2118.8,0,0,0,0,0,0,0,0
2119,0,0,0,0,0,0,0,0
2121.2,0,0,0,0,0,0,0,0
2121.4,0,0,0,0,0,0,0,0
2122,0,0,0,0,0,0,0,0
2123.8,0,0,0,0,0,0,0,0
2124.6,0,0,0,0,0,0,0,0
2125,0,0,0,0,0,0,0,0
2125.2,0,0,0,0,0,0,0,0
2126.4,0,0,0,0,0,0,0,0
2128,0,0,0,0,0,0,0,0
2128.2,0,0,0,0,0,0,0,0
2128.8,0,0,0,0,0,0,0,0
2129,0,0,0,0,0,0,0,0
2131,0,0,0,0,0,0,0,0
2131.6,0,0,0,0,0,0,0,0
2132.4,0,0,0,0,0,0,0,0
2132.5,0,0,0,0,0,0,0,0
2132.8,0,0,0,0,0,0,0,0
2133.8,0,0,0,0,0,0,0,0
2135.2,0,0,0,0,0,0,0,0
2136.4,0,0,0,0,0,0,0,0
2136.6,0,0,0,0,0,0,0,0
2137,0,0,0,0,0,0,0,0
2138.8,0,0,0,0,0,0,0,0
2140,0,0,0,0,0,0,0,0
2141.4,0,0,0,0,0,0,0,0
2142.2,0,0,0,0,0,0,0,0
2143,0,0,0,0,0,0,0,0
2144,0,0,0,0,0,0,0,0
2144.2,0,0,0,0,0,0,0,0
2145.6,0,0,0,0,0,0,0,0
2146,0,0,0,0,0,0,0,0
2146.4,0,0,0,0,0,0,0,0
2148,0,0,0,0,0,0,0,0
2149,0,0,0,0,0,0,0,0
2149.2,0,0,0,0,0,0,0,0
2151.8,0,0,0,0,0,0,0,0
2152,0,0,0,0,0,0,0,0
2152.6,0,0,0,0,0,0,0,0
2154.9,0,0,0,0,0,0,0,0
2155.6,0,0,0,0,0,0,0,0
2156.2,0,0,0,0,0,0,0,0
2159.4,0,0,0,0,0,0,0,0
2159.6,0,0,0,0,0,0,0,0
2163.2,0,0,0,0,0,0,0,0
2166.6,0,0,0,0,0,0,0,0
2167,0,0,0,0,0,0,0,0
2300,0,0,0,0,0,0,0,0
2306.6,0,0,0,0,0,0,0,0
2313.2,0,0,0,0,0,0,0,0
2319.8,0,0,0,0,0,0,0,0
2326.4,0,0,0,0,0,0,0,0
2333,0,0,0,0,0,0,0,0
2339.6,0,0,0,0,0,0,0,0
2346.2,0,0,0,0,0,0,0,0
2352.8,0,0,0,0,0,0,0,0
2359.4,0,0,0,0,0,0,0,0
2366,0,0,0,0,0,0,0,0
2372.6,0,0,0,0,0,0,0,0
2379.2,0,0,0,0,0,0,0,0
2385.8,0,0,0,0,0,0,0,0
2392.4,0,0,0,0,0,0,0,0
2399,0,0,0,0,0,0,0,0
2412,0,0,0,0,0,0,0,0
2437,0,0,0,0,0,0,0,0
2462,0,0,0,0,0,0,0,0
2500,0,0,0,0,0,0,0,0
2501,0,0,0,0,0,0,0,0
2504.4,0,0,0,0,0,0,0,0
2508.8,0,0,0,0,0,0,0,0
2513.2,0,0,0,0,0,0,0,0
2517.6,0,0,0,0,0,0,0,0
2522,0,0,0,0,0,0,0,0
2524,0,0,0,0,0,0,0,0
2526.4,0,0,0,0,0,0,0,0
2530.8,0,0,0,0,0,0,0,0
2535.2,0,0,0,0,0,0,0,0
2535.5,0,0,0,0,0,0,0,0
2539.6,0,0,0,0,0,0,0,0
2544,0,0,0,0,0,0,0,0
2547,0,0,0,0,0,0,0,0
2548.4,0,0,0,0,0,0,0,0
2552.8,0,0,0,0,0,0,0,0
2557.2,0,0,0,0,0,0,0,0
2559,0,0,0,0,0,0,0,0
2561.6,0,0,0,0,0,0,0,0
2566,0,0,0,0,0,0,0,0
2570,0,0,0,0,0,0,0,0
2573.3,0,0,0,0,0,0,0,0
2576.6,0,0,0,0,0,0,0,0
2579.9,0,0,0,0,0,0,0,0
2581.5,0,0,0,0,0,0,0,0
2583.2,0,0,0,0,0,0,0,0
2586.5,0,0,0,0,0,0,0,0
2589.8,0,0,0,0,0,0,0,0
2593,0,0,0,0,0,0,0,0
2593.1,0,0,0,0,0,0,0,0
2596.4,0,0,0,0,0,0,0,0
2599.7,0,0,0,0,0,0,0,0
2603,0,0,0,0,0,0,0,0
2604.5,0,0,0,0,0,0,0,0
2606.3,0,0,0,0,0,0,0,0
2609.6,0,0,0,0,0,0,0,0
2612.9,0,0,0,0,0,0,0,0
2616,0,0,0,0,0,0,0,0
2616.2,0,0,0,0,0,0,0,0
2619.5,0,0,0,0,0,0,0,0
2620,0,0,0,0,0,0,0,0
2624.4,0,0,0,0,0,0,0,0
2627.5,0,0,0,0,0,0,0,0
2628.8,0,0,0,0,0,0,0,0
2633.2,0,0,0,0,0,0,0,0
2637.6,0,0,0,0,0,0,0,0
2639,0,0,0,0,0,0,0,0
2642,0,0,0,0,0,0,0,0
2646.4,0,0,0,0,0,0,0,0
2650.5,0,0,0,0,0,0,0,0
2650.8,0,0,0,0,0,0,0,0
2655.2,0,0,0,0,0,0,0,0
2659.6,0,0,0,0,0,0,0,0
2662,0,0,0,0,0,0,0,0
2664,0,0,0,0,0,0,0,0
2668.4,0,0,0,0,0,0,0,0
2672.8,0,0,0,0,0,0,0,0
2673.5,0,0,0,0,0,0,0,0
2677.2,0,0,0,0,0,0,0,0
2681.6,0,0,0,0,0,0,0,0
2685,0,0,0,0,0,0,0,0
2686,0,0,0,0,0,0,0,0
5180,0,0,0,0,0,0,0,0
5500,0,0,0,0,0,0,0,0
5825,0,0,0,0,0,0,0,0
