Frequency (MHz),Port 1 Out (dB),Port 1 In (dB),Port 2 Out (dB),Port 2 In (dB),Port 3 Out (dB),Port 3 In (dB),Port 4 Out (dB),Port 4 In (dB)
801.5,0,0,0,0,0,0,0,0
801.6,0,0,0,0,0,0,0,0
802.3,0,0,0,0,0,0,0,0
803.2,0,0,0,0,0,0,0,0
805,0,0,0,0,0,0,0,0
806.6,0,0,0,0,0,0,0,0
808.3,0,0,0,0,0,0,0,0
810,0,0,0,0,0,0,0,0
811.7,0,0,0,0,0,0,0,0
813.4,0,0,0,0,0,0,0,0
814,0,0,0,0,0,0,0,0
815.1,0,0,0,0,0,0,0,0
816.3,0,0,0,0,0,0,0,0
816.8,0,0,0,0,0,0,0,0
817.3,0,0,0,0,0,0,0,0
817.6,0,0,0,0,0,0,0,0
818,0,0,0,0,0,0,0,0
818.4,0,0,0,0,0,0,0,0
818.5,0,0,0,0,0,0,0,0
818.6,0,0,0,0,0,0,0,0
818.7,0,0,0,0,0,0,0,0
819.1,0,0,0,0,0,0,0,0
819.5,0,0,0,0,0,0,0,0
819.8,0,0,0,0,0,0,0,0
820.1,0,0,0,0,0,0,0,0
820.5,0,0,0,0,0,0,0,0
820.8,0,0,0,0,0,0,0,0
820.9,0,0,0,0,0,0,0,0
821.2,0,0,0,0,0,0,0,0
821.5,0,0,0,0,0,0,0,0
822,0,0,0,0,0,0,0,0
822.3,0,0,0,0,0,0,0,0
822.8,0,0,0,0,0,0,0,0
823.3,0,0,0,0,0,0,0,0
824.2,0,0,0,0,0,0,0,0
824.8,0,0,0,0,0,0,0,0
824.9,0,0,0,0,0,0,0,0
825.6,0,0,0,0,0,0,0,0
826.4,0,0,0,0,0,0,0,0
827,0,0,0,0,0,0,0,0
827.6,0,0,0,0,0,0,0,0
827.9,0,0,0,0,0,0,0,0
828,0,0,0,0,0,0,0,0
828.4,0,0,0,0,0,0,0,0
829.5,0,0,0,0,0,0,0,0
829.6,0,0,0,0,0,0,0,0
829.8,0,0,0,0,0,0,0,0
830.2,0,0,0,0,0,0,0,0
831,0,0,0,0,0,0,0,0
831.1,0,0,0,0,0,0,0,0
831.2,0,0,0,0,0,0,0,0
831.8,0,0,0,0,0,0,0,0
832.6,0,0,0,0,0,0,0,0
832.8,0,0,0,0,0,0,0,0
833.4,0,0,0,0,0,0,0,0
834,0,0,0,0,0,0,0,0
834.2,0,0,0,0,0,0,0,0
834.4,0,0,0,0,0,0,0,0
834.6,0,0,0,0,0,0,0,0
834.9,0,0,0,0,0,0,0,0
835,0,0,0,0,0,0,0,0
835.4,0,0,0,0,0,0,0,0
835.7,0,0,0,0,0,0,0,0
835.8,0,0,0,0,0,0,0,0
836,0,0,0,0,0,0,0,0
836.4,0,0,0,0,0,0,0,0
836.6,0,0,0,0,0,0,0,0
837.2,0,0,0,0,0,0,0,0
837.3,0,0,0,0,0,0,0,0
837.4,0,0,0,0,0,0,0,0
837.6,0,0,0,0,0,0,0,0
838,0,0,0,0,0,0,0,0
838.2,0,0,0,0,0,0,0,0
838.9,0,0,0,0,0,0,0,0
839,0,0,0,0,0,0,0,0
839.1,0,0,0,0,0,0,0,0
839.2,0,0,0,0,0,0,0,0
839.4,0,0,0,0,0,0,0,0
839.5,0,0,0,0,0,0,0,0
839.8,0,0,0,0,0,0,0,0
840.4,0,0,0,0,0,0,0,0
840.6,0,0,0,0,0,0,0,0
840.8,0,0,0,0,0,0,0,0
841.4,0,0,0,0,0,0,0,0
841.6,0,0,0,0,0,0,0,0
841.9,0,0,0,0,0,0,0,0
842,0,0,0,0,0,0,0,0
842.2,0,0,0,0,0,0,0,0
842.4,0,0,0,0,0,0,0,0
842.5,0,0,0,0,0,0,0,0
843,0,0,0,0,0,0,0,0
843.5,0,0,0,0,0,0,0,0
843.6,0,0,0,0,0,0,0,0
844,0,0,0,0,0,0,0,0
844.2,0,0,0,0,0,0,0,0
845,0,0,0,0,0,0,0,0
845.1,0,0,0,0,0,0,0,0
845.2,0,0,0,0,0,0,0,0
845.6,0,0,0,0,0,0,0,0
846,0,0,0,0,0,0,0,0
846.4,0,0,0,0,0,0,0,0
846.5,0,0,0,0,0,0,0,0
846.6,0,0,0,0,0,0,0,0
846.7,0,0,0,0,0,0,0,0
847.2,0,0,0,0,0,0,0,0
847.6,0,0,0,0,0,0,0,0
848.2,0,0,0,0,0,0,0,0
848.8,0,0,0,0,0,0,0,0
848.9,0,0,0,0,0,0,0,0
849.3,0,0,0,0,0,0,0,0
851,0,0,0,0,0,0,0,0
852.7,0,0,0,0,0,0,0,0
854.4,0,0,0,0,0,0,0,0
856.1,0,0,0,0,0,0,0,0
857.8,0,0,0,0,0,0,0,0
859,0,0,0,0,0,0,0,0
859.5,0,0,0,0,0,0,0,0
861.3,0,0,0,0,0,0,0,0
862.3,0,0,0,0,0,0,0,0
862.6,0,0,0,0,0,0,0,0
863,0,0,0,0,0,0,0,0
863.4,0,0,0,0,0,0,0,0
863.6,0,0,0,0,0,0,0,0
863.7,0,0,0,0,0,0,0,0
864.1,0,0,0,0,0,0,0,0
864.5,0,0,0,0,0,0,0,0
864.8,0,0,0,0,0,0,0,0
865.1,0,0,0,0,0,0,0,0
865.5,0,0,0,0,0,0,0,0
865.8,0,0,0,0,0,0,0,0
865.9,0,0,0,0,0,0,0,0
866.2,0,0,0,0,0,0,0,0
866.5,0,0,0,0,0,0,0,0
867,0,0,0,0,0,0,0,0
867.3,0,0,0,0,0,0,0,0
867.8,0,0,0,0,0,0,0,0
868.3,0,0,0,0,0,0,0,0
869.2,0,0,0,0,0,0,0,0
869.8,0,0,0,0,0,0,0,0
869.9,0,0,0,0,0,0,0,0
870.6,0,0,0,0,0,0,0,0
871.4,0,0,0,0,0,0,0,0
872,0,0,0,0,0,0,0,0
872.6,0,0,0,0,0,0,0,0
872.9,0,0,0,0,0,0,0,0
873,0,0,0,0,0,0,0,0
873.4,0,0,0,0,0,0,0,0
874.5,0,0,0,0,0,0,0,0
874.6,0,0,0,0,0,0,0,0
874.8,0,0,0,0,0,0,0,0
875.2,0,0,0,0,0,0,0,0
876,0,0,0,0,0,0,0,0
876.1,0,0,0,0,0,0,0,0
876.2,0,0,0,0,0,0,0,0
876.8,0,0,0,0,0,0,0,0
877.6,0,0,0,0,0,0,0,0
877.8,0,0,0,0,0,0,0,0
878.4,0,0,0,0,0,0,0,0
879,0,0,0,0,0,0,0,0
879.2,0,0,0,0,0,0,0,0
879.4,0,0,0,0,0,0,0,0
879.6,0,0,0,0,0,0,0,0
879.9,0,0,0,0,0,0,0,0
880,0,0,0,0,0,0,0,0
880.2,0,0,0,0,0,0,0,0
880.4,0,0,0,0,0,0,0,0
880.7,0,0,0,0,0,0,0,0
880.8,0,0,0,0,0,0,0,0
881,0,0,0,0,0,0,0,0
881.4,0,0,0,0,0,0,0,0
881.6,0,0,0,0,0,0,0,0
882.2,0,0,0,0,0,0,0,0
882.3,0,0,0,0,0,0,0,0
882.4,0,0,0,0,0,0,0,0
882.6,0,0,0,0,0,0,0,0
883,0,0,0,0,0,0,0,0
883.2,0,0,0,0,0,0,0,0
883.9,0,0,0,0,0,0,0,0
884,0,0,0,0,0,0,0,0
884.2,0,0,0,0,0,0,0,0
884.4,0,0,0,0,0,0,0,0
884.5,0,0,0,0,0,0,0,0
884.8,0,0,0,0,0,0,0,0
885.2,0,0,0,0,0,0,0,0
885.4,0,0,0,0,0,0,0,0
885.6,0,0,0,0,0,0,0,0
885.8,0,0,0,0,0,0,0,0
886.4,0,0,0,0,0,0,0,0
886.6,0,0,0,0,0,0,0,0
886.9,0,0,0,0,0,0,0,0
887,0,0,0,0,0,0,0,0
887.2,0,0,0,0,0,0,0,0
887.4,0,0,0,0,0,0,0,0
888,0,0,0,0,0,0,0,0
888.5,0,0,0,0,0,0,0,0
888.6,0,0,0,0,0,0,0,0
888.8,0,0,0,0,0,0,0,0
889,0,0,0,0,0,0,0,0
889.2,0,0,0,0,0,0,0,0
889.8,0,0,0,0,0,0,0,0
890,0,0,0,0,0,0,0,0
890.1,0,0,0,0,0,0,0,0
890.2,0,0,0,0,0,0,0,0
890.6,0,0,0,0,0,0,0,0
890.8,0,0,0,0,0,0,0,0
891,0,0,0,0,0,0,0,0
891.4,0,0,0,0,0,0,0,0
891.5,0,0,0,0,0,0,0,0
891.6,0,0,0,0,0,0,0,0
891.7,0,0,0,0,0,0,0,0
892.2,0,0,0,0,0,0,0,0
893,0,0,0,0,0,0,0,0
893.2,0,0,0,0,0,0,0,0
893.8,0,0,0,0,0,0,0,0
893.9,0,0,0,0,0,0,0,0
895.2,0,0,0,0,0,0,0,0
895.4,0,0,0,0,0,0,0,0
896.2,0,0,0,0,0,0,0,0
897.4,0,0,0,0,0,0,0,0
897.5,0,0,0,0,0,0,0,0
899.2,0,0,0,0,0,0,0,0
899.8,0,0,0,0,0,0,0,0
901.2,0,0,0,0,0,0,0,0
902,0,0,0,0,0,0,0,0
902.4,0,0,0,0,0,0,0,0
903,0,0,0,0,0,0,0,0
904.2,0,0,0,0,0,0,0,0
904.4,0,0,0,0,0,0,0,0
906.4,0,0,0,0,0,0,0,0
906.8,0,0,0,0,0,0,0,0
908.4,0,0,0,0,0,0,0,0
908.6,0,0,0,0,0,0,0,0
908.8,0,0,0,0,0,0,0,0
910.6,0,0,0,0,0,0,0,0
910.8,0,0,0,0,0,0,0,0
912.6,0,0,0,0,0,0,0,0
913,0,0,0,0,0,0,0,0
914.8,0,0,0,0,0,0,0,0
925,0,0,0,0,0,0,0,0
925.2,0,0,0,0,0,0,0,0
927.2,0,0,0,0,0,0,0,0
927.4,0,0,0,0,0,0,0,0
929.4,0,0,0,0,0,0,0,0
930.2,0,0,0,0,0,0,0,0
931.6,0,0,0,0,0,0,0,0
933.6,0,0,0,0,0,0,0,0
933.8,0,0,0,0,0,0,0,0
934.8,0,0,0,0,0,0,0,0
935.2,0,0,0,0,0,0,0,0
935.8,0,0,0,0,0,0,0,0
936,0,0,0,0,0,0,0,0
938,0,0,0,0,0,0,0,0
938.2,0,0,0,0,0,0,0,0
